User_ID, Is_Response
id80132, happy
id80133, happy
id80134, happy
I would however stay there again if they can guarantee this be corrected because of price, happy
id80136, happy
id80137, happy
id80139, happy
id80140, happy
id80141, happy
id80145, happy
id80146, happy
id80147, happy
id80149, happy
id80150, happy
id80151, happy
id80152, happy
id80154, happy
id80156, happy
My reccomendation to you is to check out the Courtyard Inn about --- mile north on the same road. My reccomendation to Marriott is a.) close the --th floor and do a complete re-model, happy
id80158, happy
id80160, happy
id80161, happy
id80163, happy
id80164, happy
id80167, happy
id80169, happy
id80170, happy
id80171, happy
id80174, happy
id80175, happy
id80176, happy
id80177, happy
I would recommend this hotel, happy
id80181, happy
All in all, happy
id80183, happy
id80185, happy
id80187, happy
id80188, happy
id80189, happy
All-in-all, happy
id80191, happy
I found the parking fee of -- USD on a high side though, happy
id80193, happy
The rooms is somewhat tight but not too bad. The rooms are well appointed with iPod dock, happy
Overall, happy
id80196, happy
id80198, happy
id80200, happy
id80201, happy
id80202, happy
I almost forgot. You must bring your own laptop since Fedex-Kinko charges -- cents per minute. Also, happy
id80204, happy
So, happy
Just go North a few blocks to the Capri, happy
id80209, happy
id80210, happy
id80212, happy
id80213, happy
id80214, happy
id80215, happy
id80216, happy
id80217, happy
id80218, happy
id80219, happy
The room we had consisted of two double beds, happy
id80222, happy
id80223, happy
id80224, happy
The room was above average size with a comfortable king bed, happy
The staff were accommodating, happy
id80226, happy
The hospitatily is what really made this stay great. They allowed us to check out of our room after our conference at -pm for NO EXTRA CHARGE. When we were about to leave, happy
If you are in the area, happy
id80228, happy
id80230, happy
id80231, happy
We ended up buying season passes to both Sea World and the Wild Animal Park - Zoo, happy
id80233, happy
id80234, happy
Good people, happy
id80237, happy
id80238, happy
id80239, happy
Overall, happy
id80241, happy
id80242, happy
id80243, happy
id80244, happy
id80245, happy
I had advised the hotel that it was my partner's birthday. When we got in (very late Fri night), happy
VALUE: All-in-all, happy
id80252, happy
id80253, happy
id80254, happy
id80255, happy
id80257, happy
id80258, happy
id80259, happy
id80260, happy
Pros: Reasonably priced for the Riverwalk, happy
Cons: Parking is $-- a day, happy
But overall, happy
id80264, happy
We really enjoyed this hotel. It has such character and charm, happy
id80266, happy
id80267, happy
The hotel is attractive, happy
id80271, happy
id80272, happy
Unfortunately we didn't have time to play golf or sample the spa but we heard nothing but good things about both. We had a group rate for the room so it was very reasonable, happy
id80274, happy
id80275, happy
id80276, happy
id80277, happy
-. A friend from La Jolla showed up to hang out with us at the beach during the day, happy
The maid-service was great and the rooms weren't bad, happy
id80280, happy
id80281, happy
id80282, happy
Great location is its redeemer but if you are going, happy
id80285, happy
id80286, happy
id80287, happy
id80288, happy
id80291, happy
id80294, happy
id80296, happy
id80297, happy
id80300, happy
id80301, happy
id80302, happy
id80303, happy
id80304, happy
id80305, happy
id80306, happy
id80307, happy
id80308, happy
id80309, happy
id80312, happy
id80313, happy
id80314, happy
but if you don't use that amenity, happy
id80316, happy
id80318, happy
id80319, happy
id80321, happy
id80323, happy
id80324, happy
id80326, happy
All in all, happy
We were on the --th floor near the corner - I think ----. Nice room, happy
id80330, happy
id80331, happy
I would highly recommend the hotel if you are planning to go to the museums. It is about a ----- minute walk through Grant Park to the Field Museum, happy
If you are taking the train into the city, happy
Goes without saying, happy
id80335, happy
id80336, happy
id80337, happy
id80338, happy
id80339, happy
id80342, happy
id80343, happy
id80345, happy
id80346, happy
id80347, happy
id80348, happy
id80349, happy
id80350, happy
id80351, happy
At the risk of seeming disloyal to Res. Inn, happy
I showed up, happy
Started noticing the little things...I guess when you are mad, happy
id80354, happy
id80355, happy
id80356, happy
id80358, happy
id80359, happy
id80361, happy
id80363, happy
id80365, happy
All that said - don't stay there!! I even checked out this website and read the reviews, happy
So, happy
Just do not soften the water (I doubt anyone will complain), happy
id80368, happy
id80369, happy
id80370, happy
id80371, happy
id80372, happy
id80373, happy
id80376, happy
id80377, happy
id80378, happy
id80379, happy
id80381, happy
id80382, happy
id80383, happy
On the whole, happy
id80387, happy
id80389, happy
id80390, happy
id80391, happy
id80392, happy
id80393, happy
id80395, happy
id80396, happy
id80398, happy
id80399, happy
id80400, happy
id80401, happy
id80403, happy
id80404, happy
id80405, happy
id80406, happy
I think internet is free. It looks like you'll be charged, happy
While it's not a particularly unique or memorable hotel, happy
id80415, happy
id80418, happy
id80419, happy
Although I was told I had late check out, happy
id80421, happy
id80423, happy
I tried working the air conditioner and the goofy thing was set at --, happy
Whether this is a green initiative, happy
id80425, happy
id80426, happy
id80428, happy
id80429, happy
The pros definitely outweight the cons, happy
Definitely go to Universal Studios (a bus and a direct metro - -- minutes) Santa Monica, happy
id80431, happy
Managed to get VIP tours direct from the hotel to Universal Studios and also did the LA city tour both very good although one driver did overdo it a bit about relying on tips for a living. Also caught a local bus to a shopping mall very easily. Restaurant meals were very average and not cheap, happy
id80433, happy
While there is NOTHING bad I can say about it, happy
id80436, happy
id80437, happy
id80438, happy
id80439, happy
We got offered the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""hotel car"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" too by the doorman on our way back to the airport. I took him up on it even tho I knew it was an unlicensed taxi cab and not a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""hotel car"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". I was traveling in rush hour and I liked the flat rate. Just know what the deal is and you're OK, happy
id80442, happy
id80443, happy
id80444, happy
id80445, happy
id80446, happy
id80447, happy
id80448, happy
id80449, happy
id80450, happy
id80451, happy
id80452, happy
id80453, happy
id80454, happy
I could have put this off to poor planning if this had been the only bad experience. The front desk staff were rude to my roommate when she checked in and were unhelpful several times when I asked a question. On our last night we asked a bellhop to pick up boxes for shipping. After - hours and calling several times to find out how long till someone would be up, happy
id80456, happy
id80457, happy
If you stay at either HHH or MCH, happy
id80460, happy
id80461, happy
id80462, happy
id80463, happy
id80465, happy
id80467, happy
This hotel has a convenient restaurant and a bar if you don't want to go outside. The room was comfortable with a fast Internet connection, happy
id80470, happy
id80471, happy
On one side of the lobby there was a large arrangement of cookies, happy
They give you - star service and - star treatment. There are lots of bigger, happy
id80473, happy
id80474, happy
id80475, happy
id80476, happy
id80477, happy
id80478, happy
Except in the check in area and restaurant, happy
This hotel is a nice idea, happy
I feel sad to be so harsh but I feel very protective of NYC and want people to have a good experience when they stay. If you do, happy
id80480, happy
id80481, happy
id80483, happy
id80485, happy
id80486, happy
id80487, happy
id80488, happy
id80489, happy
id80490, happy
id80494, happy
id80495, happy
id80497, happy
id80498, happy
id80501, happy
Incidentally, happy
id80504, happy
id80505, happy
id80506, happy
id80508, happy
id80512, happy
I am a member of the Priority Club, happy
id80514, happy
id80516, happy
id80517, happy
id80518, happy
id80519, happy
id80520, happy
The breakfast buffet is very nice, happy
Other than the thin walls and noise issues (wich didn't last long) we had a nice stay, happy
id80525, happy
id80526, happy
Again, happy
id80530, happy
id80534, happy
id80536, happy
It is Springhill, happy
For -:-- refreshment, happy
This is where I wanted in Chicago, happy
id80543, happy
